_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,source,type_of_advice_or_caution,type_of_advice_or_caution:confidence,what,when,where,category,source_gold,text_no_rt,tweet,type,type_of_advice_or_caution_gold,user,what_gold,when_gold,where_gold,address2,point,latitude,longitude
227175880,True,golden,93,12/10/2012 14:47:51,,A hurricane sighting has been reported,0.918,sandy sandy has hit sandy sandy sandy sandy hit stourport sandy has hit sandy has hit stourport sandy has hit stourport sandy has hit stourport sandy has hit stourport sandy has hit stourport looks like sandy has hit sandy has hit sandy sandy sandy has hit sandy has hit sandy has hit sandy has hit sandy has hit sandy has hit sandy has hit sandy has hit stourport sandy has hit stourport sandy has hit stourport sandy has hit stourport sandy has hit stourport sandy has hit stourport sandy has hit stourport sandy has hit stourport sandy has hit stourport sandy sandy has hit stourport sandy has hit stourport sandy has hit stourport sandy has hit stourport sandy has hit stourport sandy has hit stourport sandy has hit stourport sandy has hit stourport sandy has hit stourport sandy sandy Sandy has hit sandy has hit sandy has hit looks like sandy has hit stourport! sandy has hit stourport! sandy sandy sandy sandy has hit sandy has hit sandy has hit sandy has hit sandy has hit sandy has hit sandy has hit sandy has hit sandy has hit sandy has hit sandy has hit sandy has hit sandy has hit sandy has hit sandy has hit sandy has hit sandy has hit sandy has hit sandy has hit sandy has hit sandy has hit sandy has hit sandy has hit sandy has hit sandy has hit sandy has hit sandy has hit looks like sandy has hit stourport! sandy has hit stourport! sandy has hit stourport! sandy has hit stourport sandy has hit stourport sandy has hit sandy has hit sandy has hit sandy has hit sandy has hit sandy has hit sandy has hit sandy has hit," n/a  na n/a n/a N/A N/A   N/A N/A N/A    N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A  N/A  ""N/A""   n/a   n/a n/a n/a n/a N/a na n/a  N/A  N/A N/A n/a n/a n/a n/a n/a n/a n/a n/a n/a n/a n/a n/a n/a n/a n/a n/a n/a n/a n/a n/a n/a n/a n/a n/a n/a n/a n/a    N/A N/A N/A n/A n/A n/A n/A n/A n/A n/A",Nan ,Informative (Direct or Indirect),"N/A ""N/A"" n/a",looks like sandy has hit stourport!,looks like sandy has hit stourport!,Caution and advice,A hurricane sighting has been reported,kathsandford, sandy has hit  sandy sandy has hit stourport sandy has hit danger sandy sandy looks like sandy has hit stourport!,"N/A ""N/A"" n/a",stourport stourport,"Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38093, Italia","46.3144754, 11.0480288",46.3144754,11.0480288
227175881,True,golden,29,12/10/2012 06:05:12,Bloomberg,Other,0.9684,"Public transportation closed until further notice Public transportation closed until further notice Public transportation closed until further notice Public transportation closed until further notice Public transportation closed Public transportation closed until further notice Public transportation closed until further notice Public transportation closed Public transportation closed Public transportation closed Public transportation closed until further notice. Public transportation closed until further notice Public transportation closed Public transportation closed until further notice Public transportation closed Public transportation closed NYC subway tunnels flooded. Air runways flooded at airport Public transportation closed Public transportation closed Public transportation closed Public transportation closed Public transportation closed until further notice. ""Public transportation closed until further notice."" Some NYC subway tunnels flooded. Air runways flooded at airport. Public transportation closed Public transportation closed Public transportation closed until further notice flooded Public transportation closed Some NYC subway tunnels flooded. Air runways flooded at airport",until further notice until further notice  n/a N/A until further notice N/A  until further notice until further notice   until further notice   until further notice until further notice until further notice until further notice Until further notice until further notice  N/A N/A until further notice until further notice until further notice  N/A,New York ,Informative (Direct),Bloomberg,"Bloomberg: ""Public transportation closed until further notice."" Some NYC subway tunnels flooded. Air runways flooded at airport. #Sandy","RT @xeni: Bloomberg: ""Public transportation closed until further notice."" Some NYC subway tunnels flooded. Air runways flooded at airport. #Sandy",Caution and advice,A hurricane sighting has been reported Other,celestemc,Public transportation closed / NYC subway tunnels flooded. Air runways flooded  Public transportation closed until further notice Public transportation closed Some NYC subway tunnels flooded,until further notice. until further notice,NYC / at airport NYC,"City of New York, New York, United States","40.7127281, -74.0060152",40.7127281,-74.0060152
227175882,True,golden,29,12/10/2012 06:08:53,,Other,0.9688,lights go out If your lights go out lights go out lights go out If your lights go out If your lights go out in Toronto it will take a couple hours to a couple of days to restore If your lights go out If your lights go out If your lights go out lights go out If your lights go out in Toronto it will take a couple hours to a couple of days to restore lights go out If your lights go out lights go out If your lights go out your lights go out If your lights go out If your lights go out in Toronto it will take a couple of days to restore them If your lights go out If your lights go out If your lights go out in Toronto it will take a couple hours to a couple of days to restore If your lights go out If your lights go out If your lights go out lights go out If your lights go out lights go out If your lights go out If your lights go out in Toronto it will take a couple hours to a couple of days to restore,n/a n/a n/a n/a couple hours to a couple of days  N/A  couple of days to restore couple of days   a couple hours to a couple of days couple of days couple hours to a couple of days  N/A A couple of days a couple hours to a couple of days a couple hours to a couple of days N/A N/A N/A N/A N/A a couple hours to a couple of days a couple of days  N/A,Toronto ,Informative (Direct),,If your lights go out in Toronto it will take a couple hours to a couple of days to restore. #Sandy,"RT @clickflickca: ""If your lights go out in Toronto it will take a couple hours to a couple of days to restore."" #Sandy",Caution and advice,Other,commoncentsmom,If your lights go out,,Toronto,"Old Toronto, Toronto, Golden Horseshoe, Ontario, Canada","43.6534817, -79.3839347",43.6534817,-79.3839347
227175883,True,golden,30,12/10/2012 06:08:53,FEMA,A shelter is open or available,0.925,search for open shelters search for open shelters search for open shelters search for open shelters search for open shelters by texting East coast search for open shelters search for open shelters by texting East coast search for open shelters by texting open shelters search for open shelters search for open shelters by texting: SHELTER + a zip code to 43362 (4FEMA) search for open shelters search for open shelters search for open shelters by texting search for open shelters search for open shelters search for open shelters Search for open shelters by texting search for open shelters by texting: SHELTER + a zip code to 43362 (4FEMA). search for open shelters search for open shelters open shelters search for open shelters search for open shelters search for open shelters search for open shelters by texting East coast search for open shelters open shelters search for open shelters search for open shelters,  n/a n/a N/A N/A      N/A     n/a Na N/A N/A N/A  N/A N/A n/a n/a   N/A N/A,East Coast America ,Informative (Direct),"N/A ""N/A""",#Sandy East coast search for open shelters by texting: SHELTER + a zip code to 43362 (4FEMA). Ex: Shelter 01234 (std rates apply),RT @fema: #Sandy East coast search for open shelters by texting: SHELTER + a zip code to 43362 (4FEMA). Ex: Shelter 01234 (std rates apply),Caution and advice,A shelter is open or available,cubedreamer,search for open shelters  search for open shelters open shelters East coast search for open shelters by texting Sandy East coast search for open shelters,"N/A ""N/A"" n/a",East coast East coast Sandy East coast #Sandy East coast east cost East coast,"Bank of America, 21, Palm Coast Parkway East, Palm Coast, Flagler County, Florida, 32164, United States","29.5500018, -81.2358348782367",29.5500018,-81.2358348782367
227175887,False,finalized,3,12/8/2012 20:37:58,,A hurricane warning has been issued or has been lifted,0.6619,Remain in your homes Remain in your homes while the storm is in progress Remain in your homes,while the storm is in progress while the storm is in progress in progress,New York ,Informative (Direct),,Remain in your homes while the storm is in progress. Stay away from windows:  #Sandy #NYC,RT @MikeBloomberg: Remain in your homes while the storm is in progress. Stay away from windows:  #Sandy #NYC,Caution and advice,,JahEmpress,,,,"City of New York, New York, United States","40.7127281, -74.0060152",40.7127281,-74.0060152
227175888,False,finalized,3,12/8/2012 19:34:10,,Other,1.0,BE SAFE!!! BE SAFE BE SAFE,N/A n/a n/a,New York ,Informative (Direct),,Everyone in NYC and surrounding areas BE SAFE!!! Praying for you all #Sandy,RT @TeamApoloKarina: Everyone in NYC and surrounding areas BE SAFE!!! Praying for you all #Sandy,Caution and advice,,jimmbboe,,,,"City of New York, New York, United States","40.7127281, -74.0060152",40.7127281,-74.0060152
227175889,False,finalized,3,12/8/2012 20:47:20,NewYorkPost,Other,0.6506,empty streets in the concrete jungle New York City never sleeps empty streets in the concrete jungle,N/A N/A n/a,New York ,Informative (Direct),,@NewYorkPost: New York City never sleeps.... #hurricance #sandy #nyc  empty streets in the concrete jungle!,"RT @ArturinAbreu: ""@NewYorkPost: New York City never sleeps.... #hurricance #sandy #nyc "" empty streets in the concrete jungle!",Caution and advice,,luisdessommes,,,,"City of New York, New York, United States","40.7127281, -74.0060152",40.7127281,-74.0060152
227175890,False,finalized,3,12/8/2012 20:53:21,,Other,1.0,phone network overload w/phone network overload or no Internet phone network overload or no Internet can text,N/A N/A n/a,New York ,Informative (Direct),,NYCÃƒÆ’Ã‚Â¤ÃƒÆ’Ã‚Â³Ãƒâ€šÃ‚Â»ers w/phone network overload or no Internet can text QÃƒÆ’Ã‚Â¤ÃƒÆ’Ã‚Â³Ãƒâ€šÃ‚Â»s to 311692 for info or help. #Sandy Please RT,RT @KattHumor: NYCÃƒÆ’Ã‚Â¤ÃƒÆ’Ã‚Â³Ãƒâ€šÃ‚Â»ers w/phone network overload or no Internet can text QÃƒÆ’Ã‚Â¤ÃƒÆ’Ã‚Â³Ãƒâ€šÃ‚Â»s to 311692 for info or help. #Sandy Please RT,Caution and advice,,markustedeschii,,,,"City of New York, New York, United States","40.7127281, -74.0060152",40.7127281,-74.0060152
227175891,False,finalized,3,12/8/2012 20:18:01,,A hurricane sighting has been reported,0.7003,interviewed a storm chaser next 72 hours in NYC especially will be chaos worst storm in 100 years,next 72 hours next 72 hours next 72 hours,New York ,Informative (Direct),,Just interviewed a storm chaser who says this is the worst storm in 100 years. Says the next 72 hours in NYC especially will be chaos #Sandy,Just interviewed a storm chaser who says this is the worst storm in 100 years. Says the next 72 hours in NYC especially will be chaos #Sandy,Caution and advice,,MattJohnstonTV,,,,"City of New York, New York, United States","40.7127281, -74.0060152",40.7127281,-74.0060152
227175892,False,finalized,3,12/8/2012 20:57:21,,Other,1.0,Driving in this is no joke Driving in this is no joke this Driving in this is no joke,N/A N/A n/a,Nan ,Informative (Direct),,Driving in this is no joke this _ÃƒÆ’Ã‚Â´Ãƒâ€šÃ‚Â»Ãƒâ€šÃ¢â‚¬Â  #Sandy,Driving in this is no joke this _ÃƒÆ’Ã‚Â´Ãƒâ€šÃ‚Â»Ãƒâ€šÃ¢â‚¬Â  #Sandy,Caution and advice,,mocha_93,,,,"Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38093, Italia","46.3144754, 11.0480288",46.3144754,11.0480288
227175893,False,finalized,3,12/10/2012 14:47:51,,A hurricane sighting has been reported,0.7244,crazy waves & wind crazy waves & wind crazy waves & wind, n/a n/A,New Buffalo ,Informative (Direct),,We've seen some crazy waves & wind here in New Buffalo from Hurricane Sandy. Lost a few cushions & some soffitt... ,We've seen some crazy waves & wind here in New Buffalo from Hurricane Sandy. Lost a few cushions & some soffitt... ,Caution and advice,,NewBuffaloInn,,,,"New Buffalo, Berrien County, Michigan, United States","41.7952562, -86.7444526",41.7952562,-86.7444526
227175894,False,finalized,3,12/10/2012 14:30:43,,Other,1.0,will be closed New Dramatists will be closed New Dramatists will be closed,Tuesday Oct. 30 Tuesday Oct. 30 Tuesday Oct. 30,New Dramatists ,Informative (Direct),,New Dramatists will be closed on Tuesday Oct. 30 due to Hurricane Sandy. Hang in there.,New Dramatists will be closed on Tuesday Oct. 30 due to Hurricane Sandy. Hang in there.,Caution and advice,,NewDramatists,,,,"New Dramatists Theater, 424, West 44th Street, Manhattan Community Board 4, Manhattan, New York County, City of New York, New York, 10036, United States","40.7601215, -73.9929292",40.7601215,-73.9929292
227175895,False,finalized,3,12/8/2012 20:53:21,,A hurricane sighting has been reported,0.7122,wind and rain are starting up wind and rain are starting up wind and rain are starting up,N/A N/A n/a,Nan ,Informative (Direct),,wind and rain are starting up... SANDY'S COMIN,RT @kristinklementz: wind and rain are starting up... SANDY'S COMIN,Caution and advice,,nicholatrinh,,,,"Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38093, Italia","46.3144754, 11.0480288",46.3144754,11.0480288
227175896,False,finalized,3,12/8/2012 20:57:21,,A hurricane sighting has been reported,0.7358,wind's really picking up wind wind's really picking up,N/A n/a n/a,New York ,Informative (Direct),,The wind's really picking up out there ... #sandy #nyc ,RT @CitizenWilliams: The wind's really picking up out there ... #sandy #nyc ,Caution and advice,,philcloh2o,,,,"City of New York, New York, United States","40.7127281, -74.0060152",40.7127281,-74.0060152
227175897,False,finalized,3,12/10/2012 14:34:14,,A hurricane sighting has been reported,0.6647,high wind damn high wind high wind,Now Now Now,Nan ,Informative (Direct),,Now we gotta a damn high wind thanks to that bitch Sandy,Now we gotta a damn high wind thanks to that bitch Sandy,Caution and advice,,SoLowKey1,,,,"Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38093, Italia","46.3144754, 11.0480288",46.3144754,11.0480288
227175898,False,finalized,3,12/8/2012 19:09:26,,A hurricane warning has been issued or has been lifted,0.3819,Hurricane Sandy Shelter Find the Hurricane Sandy Shelter Find the Hurricane Sandy Shelter,n/a N/A n/a,Nan ,Informative (Direct),,How to Find the Hurricane Sandy Shelter Closest to You ,RT @inhabitat: How to Find the Hurricane Sandy Shelter Closest to You ,Caution and advice,,SoulNav,,,,"Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38093, Italia","46.3144754, 11.0480288",46.3144754,11.0480288
227175899,False,finalized,3,12/8/2012 20:37:58,,A hurricane sighting has been reported,0.7122,Winds howling crazy like a banshee Winds howling crazy like a banshee thru NYC Winds howling crazy like a banshee,N/A N/A today,New York ,Informative (Direct),,Winds howling crazy like a banshee thru NYC - bring it on Hurricane Sandy! (good call for the city govt. to shut everything down today),Winds howling crazy like a banshee thru NYC - bring it on Hurricane Sandy! (good call for the city govt. to shut everything down today),Caution and advice,,SuSohn,,,,"City of New York, New York, United States","40.7127281, -74.0060152",40.7127281,-74.0060152
227175900,False,finalized,3,12/10/2012 14:47:51,,Other,0.6485,Hurricane Sandy coming ashore Starbucks closes all locations Panic  Starbucks closes,N/A n/a n/A,New York ,Informative (Direct),,Panic rules in NYC as Starbucks closes all locations with Hurricane Sandy coming ashore,Panic rules in NYC as Starbucks closes all locations with Hurricane Sandy coming ashore,Caution and advice,,timmyodea,,,,"City of New York, New York, United States","40.7127281, -74.0060152",40.7127281,-74.0060152
227175901,False,finalized,3,12/8/2012 19:34:10,,A hurricane sighting has been reported,1.0,storm is getting closer storm is getting closer storm is getting closer,N/A n/a n/a,Nan ,Informative (Direct),,And so it begins. The storm is getting closer and closer and the wind gets stronger and louder...#sandy,And so it begins. The storm is getting closer and closer and the wind gets stronger and louder...#sandy,Caution and advice,,vickyXlee,,,,"Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38093, Italia","46.3144754, 11.0480288",46.3144754,11.0480288
227175902,False,finalized,3,12/10/2012 14:44:08,,A hurricane sighting has been reported,1.0,wind is seriously intense wind is seriously intense wind is seriously intense,right now right now right now,New York ,Informative (Direct),,The wind is seriously intense right now!!! Time to get inside people. I love an adventure for a photo but let's be safe. #sandy #NYC,The wind is seriously intense right now!!! Time to get inside people. I love an adventure for a photo but let's be safe. #sandy #NYC,Caution and advice,,wyattgallery,,,,"City of New York, New York, United States","40.7127281, -74.0060152",40.7127281,-74.0060152
227175903,False,finalized,3,12/8/2012 20:34:51,,A hurricane warning has been issued or has been lifted,0.6506,President Obama declares states of emergency President Obama declares states of emergency in New York and Massachusetts President Obama declares states of emergency,N/A N/A n/a,Massachusetts ,Informative (Indirect),,President Obama declares states of emergency in New York and Massachusetts due to #Hurricane #Sandy. ,RT @cnnbrk: President Obama declares states of emergency in New York and Massachusetts due to #Hurricane #Sandy. ,Caution and advice,,_LetsFlyAway_,,,,"Massachusetts, United States","42.3788774, -72.032366",42.3788774,-72.032366
227175903,False,finalized,3,12/8/2012 20:34:51,,A hurricane warning has been issued or has been lifted,0.6506,President Obama declares states of emergency President Obama declares states of emergency in New York and Massachusetts President Obama declares states of emergency,N/A N/A n/a,New York ,Informative (Indirect),,President Obama declares states of emergency in New York and Massachusetts due to #Hurricane #Sandy. ,RT @cnnbrk: President Obama declares states of emergency in New York and Massachusetts due to #Hurricane #Sandy. ,Caution and advice,,_LetsFlyAway_,,,,"City of New York, New York, United States","40.7127281, -74.0060152",40.7127281,-74.0060152
227175904,False,finalized,3,12/8/2012 19:44:30,ABC News,Other,1.0,Bellevue Hospital Set to Evacuate Bellevue Hospital Set to Evacuate Hospital Set to Evacuate,N/A n/a n/a,Bellevue Hospital Center ,Informative (Indirect),,NYC's Bellevue Hospital Set to Evacuate - ABC News: ABC NewsNYC's Bellevue Hospital Set to EvacuateABC NewsNew Y... ,NYC's Bellevue Hospital Set to Evacuate - ABC News: ABC NewsNYC's Bellevue Hospital Set to EvacuateABC NewsNew Y... ,Caution and advice,,1sthealthnews,,,,"NYC Health + Hospitals/Bellevue, 462, 1st Avenue, Manhattan Community Board 6, Manhattan, New York County, City of New York, New York, 10010, United States","40.73926685, -73.9753335599207",40.73926685,-73.9753335599207
227175906,False,finalized,3,12/8/2012 20:32:02,NBC4,A hurricane warning has been issued or has been lifted,0.7047,Sandy hitting gas peda Sandy hitting gas pedal Sandy hitting gas pedal. Speeding up.,N/A n/a scheduled,Nan ,Informative (Indirect),,NEW INFO: Sandy hitting gas pedal. Speeding up. Earlier collision with shore scheduled. Expect lots of damage.  - NBC4,NEW INFO: Sandy hitting gas pedal. Speeding up. Earlier collision with shore scheduled. Expect lots of damage.  - NBC4,Caution and advice,,AboveAverageA,,,,"Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38093, Italia","46.3144754, 11.0480288",46.3144754,11.0480288
227175907,False,finalized,3,12/8/2012 19:00:16,70torinoman caribnews,A hurricane sighting has been reported,1.0,Wind gusts over 60 mph Wind gusts over 60 mph are being reported at Central Park and JFK airport Wind gusts over 60 mph,this hour this hour this hour,John F. Kennedy Airport ,Informative (Indirect),,Wind gusts over 60 mph are being reported at Central Park and JFK airport in #NYC this hour - TWC #Sandy -- @70torinoman (@caribnews),Wind gusts over 60 mph are being reported at Central Park and JFK airport in #NYC this hour - TWC #Sandy -- @70torinoman (@caribnews),Caution and advice,,adri16,,,,"John F. Kennedy International Airport, JFK Access Road, Queens, City of New York, New York, 11430, United States","40.642947899999996, -73.7793733748521",40.642947899999996,-73.7793733748521
227175907,False,finalized,3,12/8/2012 19:00:16,70torinoman caribnews,A hurricane sighting has been reported,1.0,Wind gusts over 60 mph Wind gusts over 60 mph are being reported at Central Park and JFK airport Wind gusts over 60 mph,this hour this hour this hour,Central Park ,Informative (Indirect),,Wind gusts over 60 mph are being reported at Central Park and JFK airport in #NYC this hour - TWC #Sandy -- @70torinoman (@caribnews),Wind gusts over 60 mph are being reported at Central Park and JFK airport in #NYC this hour - TWC #Sandy -- @70torinoman (@caribnews),Caution and advice,,adri16,,,,"Central Park, New York County, City of New York, New York, United States","40.7827725, -73.9653627406542",40.7827725,-73.9653627406542
227175907,False,finalized,3,12/8/2012 19:00:16,70torinoman caribnews,A hurricane sighting has been reported,1.0,Wind gusts over 60 mph Wind gusts over 60 mph are being reported at Central Park and JFK airport Wind gusts over 60 mph,this hour this hour this hour,New York ,Informative (Indirect),,Wind gusts over 60 mph are being reported at Central Park and JFK airport in #NYC this hour - TWC #Sandy -- @70torinoman (@caribnews),Wind gusts over 60 mph are being reported at Central Park and JFK airport in #NYC this hour - TWC #Sandy -- @70torinoman (@caribnews),Caution and advice,,adri16,,,,"City of New York, New York, United States","40.7127281, -74.0060152",40.7127281,-74.0060152
